;COD_UF;NOME;SIGLA
0;35;São Paulo; SP
1;41;Paraná; PR
2;42;Santa Catarina; SC
3;43;Rio Grande do Sul; RS
4;50;Mato Grosso do Sul; MS
5;11;Rondônia; RO
6;12;Acre; AC
7;13;Amazonas; AM
8;14;Roraima; RR
9;15;Pará; PA
10;16;Amapá; AP
11;17;Tocantins; TO
12;21;Maranhão; MA
13;24;Rio Grande do Norte; RN
14;25;Paraíba; PB
15;26;Pernambuco; PE
16;27;Alagoas; AL
17;28;Sergipe; SE
18;29;Bahia; BA
19;31;Minas Gerais; MG
20;33;Rio de Janeiro; RJ
21;51;Mato Grosso; MT
22;52;Goiás; GO
23;53;Distrito Federal; DF
24;22;Piauí; PI
25;23;Ceará; CE
26;32;Espírito Santo; ES
